file_name,on_screen_gaze_position,monitor_pixels
p07/day07/0036.jpg,"[467, 958]","[1440, 900]"
p07/day11/0005.jpg,"[1659, 336]","[1440, 900]"
p07/day11/0010.jpg,"[854, 905]","[1440, 900]"
p07/day11/0015.jpg,"[1606, 835]","[1440, 900]"
p07/day11/0018.jpg,"[1823, 501]","[1440, 900]"
p07/day11/0023.jpg,"[1795, 406]","[1440, 900]"
p07/day11/0035.jpg,"[960, 964]","[1440, 900]"
p07/day11/0047.jpg,"[1133, 977]","[1440, 900]"
p07/day11/0062.jpg,"[1663, 805]","[1440, 900]"
p07/day11/0089.jpg,"[1555, 797]","[1440, 900]"
p07/day11/0091.jpg,"[1481, 729]","[1440, 900]"
p07/day11/0093.jpg,"[1451, 146]","[1440, 900]"
p07/day11/0094.jpg,"[1658, 64]","[1440, 900]"
p07/day11/0109.jpg,"[1827, 507]","[1440, 900]"
p07/day11/0145.jpg,"[1373, 1024]","[1440, 900]"
p07/day11/0148.jpg,"[1537, 897]","[1440, 900]"
p07/day12/0153.jpg,"[1454, 499]","[1440, 900]"
p07/day12/0163.jpg,"[1716, 967]","[1440, 900]"
p07/day12/0167.jpg,"[617, 966]","[1440, 900]"
p07/day12/0187.jpg,"[1691, 654]","[1440, 900]"
p07/day12/0198.jpg,"[1798, 1012]","[1440, 900]"
p07/day12/0202.jpg,"[1519, 871]","[1440, 900]"
p07/day12/0213.jpg,"[1876, 424]","[1440, 900]"
p07/day12/0218.jpg,"[1496, 556]","[1440, 900]"
p07/day12/0220.jpg,"[1618, 158]","[1440, 900]"
p07/day12/0226.jpg,"[140, 998]","[1440, 900]"
p07/day12/0282.jpg,"[1856, 179]","[1440, 900]"
p07/day12/0289.jpg,"[1640, 511]","[1440, 900]"
p07/day12/0310.jpg,"[1720, 308]","[1440, 900]"
p07/day12/0351.jpg,"[1536, 364]","[1440, 900]"
p07/day12/0353.jpg,"[1611, 112]","[1440, 900]"
p07/day12/0369.jpg,"[1456, 665]","[1440, 900]"
p07/day12/0372.jpg,"[1622, 337]","[1440, 900]"
p07/day12/0373.jpg,"[1514, 422]","[1440, 900]"
p07/day12/0382.jpg,"[1906, 927]","[1440, 900]"
p07/day12/0389.jpg,"[1512, 10]","[1440, 900]"
p07/day12/0424.jpg,"[1530, 99]","[1440, 900]"
p07/day12/0431.jpg,"[1620, 100]","[1440, 900]"
p07/day12/0472.jpg,"[1827, 1063]","[1440, 900]"
p07/day12/0474.jpg,"[1645, 934]","[1440, 900]"
p07/day12/0497.jpg,"[889, 925]","[1440, 900]"
p07/day12/0505.jpg,"[618, 1035]","[1440, 900]"
p07/day12/0506.jpg,"[404, 986]","[1440, 900]"
p07/day12/0554.jpg,"[180, 910]","[1440, 900]"
p07/day13/0009.jpg,"[1777, 192]","[1440, 900]"
p07/day13/0030.jpg,"[1850, 846]","[1440, 900]"
p07/day13/0036.jpg,"[1513, 470]","[1440, 900]"
p07/day13/0061.jpg,"[1844, 286]","[1440, 900]"
p07/day13/0072.jpg,"[1570, 701]","[1440, 900]"
p07/day14/0039.jpg,"[1558, 839]","[1440, 900]"
p07/day14/0049.jpg,"[1733, 664]","[1440, 900]"
p07/day14/0052.jpg,"[842, 1041]","[1440, 900]"
p07/day14/0054.jpg,"[1796, 813]","[1440, 900]"
p07/day14/0060.jpg,"[1493, 797]","[1440, 900]"
p07/day14/0064.jpg,"[1507, 168]","[1440, 900]"
p07/day14/0078.jpg,"[726, 921]","[1440, 900]"
p07/day14/0116.jpg,"[1620, 500]","[1440, 900]"
p07/day15/0007.jpg,"[737, 910]","[1440, 900]"
p07/day15/0028.jpg,"[292, 1016]","[1440, 900]"
p07/day15/0041.jpg,"[1803, 1041]","[1440, 900]"
p07/day15/0043.jpg,"[1664, 870]","[1440, 900]"
p07/day15/0077.jpg,"[1704, 946]","[1440, 900]"
p07/day15/0082.jpg,"[964, 976]","[1440, 900]"
p07/day15/0093.jpg,"[1569, 181]","[1440, 900]"
p07/day15/0094.jpg,"[1546, 364]","[1440, 900]"
p07/day15/0140.jpg,"[1614, 775]","[1440, 900]"
p07/day15/0142.jpg,"[1118, 1013]","[1440, 900]"
p07/day15/0164.jpg,"[1778, 669]","[1440, 900]"
p07/day15/0180.jpg,"[1897, 264]","[1440, 900]"
p07/day15/0183.jpg,"[1810, 779]","[1440, 900]"
p07/day15/0215.jpg,"[1281, 1014]","[1440, 900]"
p07/day15/0220.jpg,"[1453, 101]","[1440, 900]"
p07/day15/0244.jpg,"[1896, 610]","[1440, 900]"
p07/day15/0257.jpg,"[1831, 181]","[1440, 900]"
p07/day15/0260.jpg,"[971, 903]","[1440, 900]"
p07/day17/0026.jpg,"[1588, 583]","[1440, 900]"
p07/day17/0035.jpg,"[1501, 893]","[1440, 900]"
p07/day17/0037.jpg,"[1721, 104]","[1440, 900]"
p07/day17/0051.jpg,"[1450, 261]","[1440, 900]"
p07/day17/0056.jpg,"[1641, 921]","[1440, 900]"
p07/day17/0086.jpg,"[1296, 1057]","[1440, 900]"
p07/day17/0094.jpg,"[1112, 1017]","[1440, 900]"
p07/day17/0097.jpg,"[1897, 948]","[1440, 900]"
p07/day17/0134.jpg,"[1577, 311]","[1440, 900]"
p07/day19/0043.jpg,"[1187, 1043]","[1440, 900]"
p07/day19/0068.jpg,"[1511, 536]","[1440, 900]"
p07/day19/0072.jpg,"[1293, 941]","[1440, 900]"
p07/day19/0089.jpg,"[1583, 146]","[1440, 900]"
p07/day19/0103.jpg,"[1568, 296]","[1440, 900]"
p07/day19/0138.jpg,"[389, 1052]","[1440, 900]"
p07/day19/0158.jpg,"[1841, 834]","[1440, 900]"
p07/day19/0168.jpg,"[1676, 583]","[1440, 900]"
p07/day19/0176.jpg,"[1610, 143]","[1440, 900]"
p07/day19/0185.jpg,"[1709, 257]","[1440, 900]"
p07/day19/0212.jpg,"[1121, 952]","[1440, 900]"
p07/day19/0220.jpg,"[1840, 299]","[1440, 900]"
p07/day19/0244.jpg,"[1664, 885]","[1440, 900]"
p07/day19/0313.jpg,"[1602, 672]","[1440, 900]"
p07/day19/0320.jpg,"[1030, 1037]","[1440, 900]"
p07/day19/0342.jpg,"[1861, 1062]","[1440, 900]"
p07/day19/0344.jpg,"[474, 994]","[1440, 900]"
p07/day21/0019.jpg,"[1456, 514]","[1440, 900]"
p07/day21/0023.jpg,"[1652, 429]","[1440, 900]"
p07/day21/0029.jpg,"[1712, 137]","[1440, 900]"
p07/day21/0051.jpg,"[1642, 762]","[1440, 900]"
p07/day23/0020.jpg,"[1607, 128]","[1440, 900]"
p07/day23/0040.jpg,"[1874, 941]","[1440, 900]"
p07/day23/0043.jpg,"[1642, 585]","[1440, 900]"
p07/day23/0061.jpg,"[676, 927]","[1440, 900]"
p07/day23/0063.jpg,"[1883, 16]","[1440, 900]"
p07/day23/0066.jpg,"[737, 1028]","[1440, 900]"
p07/day23/0079.jpg,"[1562, 777]","[1440, 900]"
p07/day23/0081.jpg,"[1901, 133]","[1440, 900]"
p07/day23/0087.jpg,"[1331, 1010]","[1440, 900]"
p07/day38/0017.jpg,"[1626, 596]","[1440, 900]"
p07/day38/0029.jpg,"[1747, 17]","[1440, 900]"
p07/day38/0038.jpg,"[1885, 579]","[1440, 900]"
p07/day38/0040.jpg,"[106, 1054]","[1440, 900]"
p07/day38/0045.jpg,"[1466, 388]","[1440, 900]"
p07/day38/0049.jpg,"[1538, 316]","[1440, 900]"
p07/day38/0060.jpg,"[1878, 750]","[1440, 900]"
p07/day38/0063.jpg,"[1459, 267]","[1440, 900]"
p07/day38/0088.jpg,"[1815, 824]","[1440, 900]"
p07/day38/0171.jpg,"[1877, 727]","[1440, 900]"
p07/day38/0226.jpg,"[445, 935]","[1440, 900]"
p07/day38/0255.jpg,"[614, 1046]","[1440, 900]"
p07/day38/0256.jpg,"[1559, 562]","[1440, 900]"
p07/day38/0259.jpg,"[962, 981]","[1440, 900]"
p07/day38/0329.jpg,"[1856, 516]","[1440, 900]"
p07/day38/0353.jpg,"[1521, 247]","[1440, 900]"
p07/day38/0380.jpg,"[449, 926]","[1440, 900]"
p07/day38/0381.jpg,"[1651, 1025]","[1440, 900]"
p07/day38/0439.jpg,"[1569, 224]","[1440, 900]"
p07/day38/0448.jpg,"[604, 958]","[1440, 900]"
p07/day38/0451.jpg,"[1557, 1045]","[1440, 900]"
p07/day38/0465.jpg,"[1889, 1032]","[1440, 900]"
p07/day38/0469.jpg,"[1718, 218]","[1440, 900]"
p07/day38/0484.jpg,"[1812, 724]","[1440, 900]"
p07/day38/0490.jpg,"[1906, 655]","[1440, 900]"
p07/day38/0494.jpg,"[1539, 158]","[1440, 900]"
p07/day38/0496.jpg,"[1586, 504]","[1440, 900]"
p07/day38/0498.jpg,"[193, 1028]","[1440, 900]"
p07/day38/0502.jpg,"[1725, 569]","[1440, 900]"
p07/day38/0522.jpg,"[1760, 315]","[1440, 900]"
p07/day38/0535.jpg,"[25, 910]","[1440, 900]"
p07/day47/0661.jpg,"[336, 999]","[1440, 900]"
p07/day47/0673.jpg,"[1026, 1065]","[1440, 900]"
p07/day47/0681.jpg,"[1786, 561]","[1440, 900]"
p07/day47/0699.jpg,"[793, 1006]","[1440, 900]"
p07/day47/0703.jpg,"[760, 904]","[1440, 900]"
p07/day47/0747.jpg,"[758, 1023]","[1440, 900]"
p07/day47/0799.jpg,"[1657, 922]","[1440, 900]"
p07/day47/0820.jpg,"[381, 958]","[1440, 900]"
p07/day47/0833.jpg,"[607, 929]","[1440, 900]"
p07/day47/0835.jpg,"[1186, 966]","[1440, 900]"
p07/day47/0844.jpg,"[1679, 162]","[1440, 900]"
p07/day50/0248.jpg,"[1883, 928]","[1440, 900]"
p07/day50/0266.jpg,"[25, 1033]","[1440, 900]"
p07/day50/0282.jpg,"[1810, 1065]","[1440, 900]"
p07/day50/0283.jpg,"[1660, 844]","[1440, 900]"
p07/day50/0298.jpg,"[1780, 1079]","[1440, 900]"
p07/day50/0333.jpg,"[1768, 349]","[1440, 900]"
p07/day50/0343.jpg,"[1305, 1005]","[1440, 900]"
p07/day50/0368.jpg,"[1829, 820]","[1440, 900]"
p07/day50/0371.jpg,"[1711, 754]","[1440, 900]"
p07/day50/0389.jpg,"[1636, 508]","[1440, 900]"
p07/day50/0403.jpg,"[1508, 226]","[1440, 900]"
p07/day50/0406.jpg,"[1564, 663]","[1440, 900]"
p07/day50/0426.jpg,"[1806, 76]","[1440, 900]"
p07/day50/0462.jpg,"[1514, 705]","[1440, 900]"
p07/day50/0474.jpg,"[1086, 946]","[1440, 900]"
p07/day50/0475.jpg,"[373, 1012]","[1440, 900]"
p07/day55/0333.jpg,"[1696, 719]","[1440, 900]"
p07/day55/0350.jpg,"[1726, 15]","[1440, 900]"
p07/day55/0369.jpg,"[664, 1060]","[1440, 900]"
p07/day55/0377.jpg,"[347, 976]","[1440, 900]"
p07/day55/0379.jpg,"[1379, 1043]","[1440, 900]"
p07/day55/0401.jpg,"[412, 935]","[1440, 900]"
p07/day55/0431.jpg,"[1315, 1068]","[1440, 900]"
p07/day55/0443.jpg,"[1581, 59]","[1440, 900]"
p07/day56/0002.jpg,"[1723, 840]","[1440, 900]"
p07/day56/0016.jpg,"[1721, 180]","[1440, 900]"
p07/day56/0017.jpg,"[1699, 645]","[1440, 900]"
p07/day56/0051.jpg,"[1800, 300]","[1440, 900]"
p07/day56/0058.jpg,"[1711, 59]","[1440, 900]"
p07/day56/0066.jpg,"[1846, 913]","[1440, 900]"
p07/day56/0076.jpg,"[1261, 921]","[1440, 900]"
p07/day56/0078.jpg,"[767, 978]","[1440, 900]"
p07/day56/0108.jpg,"[1345, 904]","[1440, 900]"
p07/day56/0118.jpg,"[1792, 20]","[1440, 900]"
p07/day56/0125.jpg,"[1503, 513]","[1440, 900]"
p10/day05/0003.jpg,"[2325, 297]","[1440, 900]"
p10/day05/0004.jpg,"[928, 963]","[1440, 900]"
p10/day05/0005.jpg,"[2419, 153]","[1440, 900]"
p10/day05/0006.jpg,"[385, 981]","[1440, 900]"
p10/day05/0011.jpg,"[3035, 965]","[1440, 900]"
p10/day05/0013.jpg,"[1852, 467]","[1440, 900]"
p10/day05/0014.jpg,"[1604, 495]","[1440, 900]"
p10/day05/0015.jpg,"[2268, 1005]","[1440, 900]"
p10/day05/0018.jpg,"[14, 1157]","[1440, 900]"
p10/day05/0019.jpg,"[1543, 205]","[1440, 900]"
